English lemma,Swedish lemma,POS,status
lightweight java game library,,,no translation
line-of-sight,,,no translation
linear approximation,,,no translation
linear programming,,,no translation
linear systems,,,no translation
linguistic processing,,,no translation
live multimedia distribution,direkt/levande multimediafördelning,,invalid characters in lemma
local and wide-area networks,lokala och … nät,,invalid characters in lemma
logging and recovery,,,no translation
logic and constraint programming,,,no translation
logical design,,,no translation
logistics,,,no translation
long-term evolution,,,no translation
low power/low-power,lågeffekt,,invalid characters in lemma
macrocell|s macrocellular,makrocell makroceller makrocellulärt,,invalid characters in lemma
mall/malls,galleria/köpcentrum,,invalid characters in lemma
manage manages managed manager manageable managing management,hantera förvaltar förvaltade direktör/chef/föreståndare/förvaltare hanterbar hantera ledningen,,invalid characters in lemma
management (k.6.3,styrning/ledning (k.6.3,,invalid characters in lemma
management information base,,,no translation
management techniques (e.g.,ledningstekniker,,invalid characters in lemma
management/maintenance,styrning/underhåll,,invalid characters in lemma
manufacturer|s,tillverkaretillverkarna,,invalid characters in lemma
manufacture|s,tillverkning tillverkar,,invalid characters in lemma
marker|s,markör markörer,,invalid characters in lemma
market markets marketing,marknad marknader marknadsföra/marknadsföring,,invalid characters in lemma
markov processes,,,no translation
markup,stilsättning/uppmärkning,,invalid characters in lemma
mass storage (e.g.,masslagring (t.ex. magnetisk,,invalid characters in lemma
massive data analysis,,,no translation
master/slave,master/slave,,invalid characters in lemma
material|s,materialet material,,invalid characters in lemma
mathematical logic (1.1,,,no translation
mathematical logic and formal languages,,,no translation
mathematical software,,,no translation
mathematics of computing,,,no translation
matrix inversion,,,no translation
matter|s,ärendet ärenden,,invalid characters in lemma
max/min/guaranteed,maximum/minimum/garanterad,,invalid characters in lemma
mechanical theorem proving,,,no translation
mediacenter,,,no translation
meeting room booking service,,,no translation
member|s,medlem medlemmar,,invalid characters in lemma
meta models/meta-models/metamodels,meta modeller,,invalid characters in lemma
meta-data/metadata,metadata,,invalid characters in lemma
meta-model agent,,,no translation
meter|s metering,mätare mätare mätning,,invalid characters in lemma
method of lines,,,no translation
methodologies (e.g.,metoder (t.ex. objektorienterade,,invalid characters in lemma
methodologies and techniques,,,no translation
methodology,metodologi/metodik,,invalid characters in lemma
metric metrics,metrisk metrik/verslära/mätvärden,,invalid characters in lemma
metrics,,,no translation
micro-sensor|s microsensors,mikrosensor mikrosensorer mikrosensorer,,invalid characters in lemma
microcell|s microcellular,mikrocell mikroceller mikrocellulär,,invalid characters in lemma
microprocessor/microcomputer applications,mikroprocessor/mikrodator-tillämpningar,,invalid characters in lemma
microprogram design aids (2.2,mikroprogram: konstruktionshjälpmedel,,invalid characters in lemma
midlets,,,no translation
mikey-ticket,,,no translation
minimax approximation and algorithms,,,no translation
minimum inter-arrival time,,,no translation
minute|s,minut minuter,,invalid characters in lemma
mobile application/mobile application,mobilapplikation/mobilapplikationer,,invalid characters in lemma
mobile device/mobile devices,mobila enhet/mobila enheter,,invalid characters in lemma
mobile ip,,,no translation
mobile opportunistic services for experience sharing  project,,,no translation
mobile security,,,no translation
mobile web 2.0,mobil webben 2.0,,invalid characters in lemma
mobile|s,mobil mobiler,,invalid characters in lemma
mobility protocols,,,no translation
modal logic,,,no translation
model theory,,,no translation
modeling,,,no translation
models and principles,,,no translation
modem/transceiver,modemet / transceivern,,invalid characters in lemma
monitor| monitoring,övervaka/monitor monitorer övervakning,,invalid characters in lemma
msc-s,,,no translation
multi/mixed media,blandade medier/multimedier,,invalid characters in lemma
multiband ofdm format for uwb,,,no translation
multiconferencing,,,no translation
multidimensional,flerdimensionell/multidimensionell,,invalid characters in lemma
multidimensional  quadrature,,,no translation
multigrid and multilevel methods,,,no translation
multikernel,,,no translation
multimedia databases,,,no translation
multimedia information systems,,,no translation
multimedia internet keying,,,no translation
multimedia messaging service  composer,,,no translation
multimedia messaging service  synchronized multimedia integration language,,,no translation
multimedia messaging service  viewer,,,no translation
multiparadigm languages,fler/mång/multi paradigmspråk,,invalid characters in lemma
multipath roofnet routing,,,no translation
multiplayer games/multiplayer gaming,multiplayerspel,,invalid characters in lemma
multiple precision arithmetic,,,no translation
multiprocessing/multiprogramming/multitasking,multi.../multiprogrammering/fleruppdragskörning,,invalid characters in lemma
multiprocessor system-on-chip,,,no translation
multiprotocol label switching,,,no translation
multistep and multivalue methods,,,no translation
multitasking multi-tasked,"""multikörning """"fler uppgift""""""",,invalid characters in lemma
multitier,"""""""flera lager""""""",,invalid characters in lemma
multivariate statistics,,,no translation
municipal municipality/municipalities,kommunal kommun/kommuner,,invalid characters in lemma
national marine electronics association  data,,,no translation
nationwide,rikstäckande/landsomfattande,,invalid characters in lemma
natural language,,,no translation
navigation,,,no translation
neighbor|s neighboring,granne grannar angränsande,,invalid characters in lemma
neither,"""varken/""""inte heller""""""",,invalid characters in lemma
network communications,,,no translation
network database  cluster,,,no translation
network driver interface specification,,,no translation
network enabled cloud,,,no translation
network problems,,,no translation
network simulator 2- university of cincinnati bluetooth  [simulator],,,no translation
network time protocol,,,no translation
nonlinear approximation,,,no translation
nonlinear programming,,,no translation
nonnumerical algorithms and problems (e.2,icke-numeriska algoritmer och problem (e.2,,invalid characters in lemma
nonparametric statistics,,,no translation
normal forms,,,no translation
null message algorithm,,,no translation
number-theoretic computations (e.g.,talteoretiska beräkningar (t.ex. faktorisering,,invalid characters in lemma
numerical algorithms,,,no translation
numerical algorithms and problems (g.1,numeriska algoritmer och problem (g.1,,invalid characters in lemma
numerical analysis,,,no translation
numerical linear algebra,,,no translation
object management group,,,no translation
object-oriented constructs,,,no translation
object-oriented databases,,,no translation
object-oriented design methods,objektorienterade designmetoder/konstruktionsmetoder,,invalid characters in lemma
object|s,objektet objekt,,invalid characters in lemma
obsolete|s,föråldrad föråldrat,,invalid characters in lemma
occupancy occupies,beläggning/innehavande ockupera/upptar,,invalid characters in lemma
office automation,,,no translation
on-board diagnostic-ii,,,no translation
one-step  methods,,,no translation
online information services,,,no translation
ontology/ontologies,ontologi/ontologier,,invalid characters in lemma
open access,fri tillgänglighet/öppen tillgång,,invalid characters in lemma
open base station architecture initiative,,,no translation
opensocial api,,,no translation
opportunity,tillfälle/möjlighet,,invalid characters in lemma
optical high speed lines,,,no translation
order orders ordered,beställ/ordningens beställningar beställda/ordnade,,invalid characters in lemma
ordinary differential equations,,,no translation
organization/structure,organisation och struktur,,invalid characters in lemma
organizational design,,,no translation
orthogonal frequency-division multiple access,,,no translation
other|s,annat andra,,invalid characters in lemma
over-the-air,,,no translation
over-the-air programming,,,no translation
